Namespace(batch_size=128, concat=True, dataset='politifact', device='cpu', dropout_ratio=0.0, epochs=80, feature='spacy', lr=0.001, model='gcn', multi_gpu=False, nhid=128, num_classes=2, num_features=300, seed=777, weight_decay=0.01)
loss_train: 0.1827, acc_train: 0.9194, recall_train: 0.8846, auc_train: 0.9893, loss_val: 0.4361, acc_val: 0.7742, recall_val: 0.8333, auc_val: 0.8675
loss_train: 0.1796, acc_train: 0.9516, recall_train: 0.9615, auc_train: 0.9915, loss_val: 0.4516, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8761
loss_train: 0.1568, acc_train: 0.9516, recall_train: 0.9615, auc_train: 0.9925, loss_val: 0.5451, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8718
loss_train: 0.1643, acc_train: 0.9355, recall_train: 0.8846, auc_train: 0.9936, loss_val: 0.4589, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8803
loss_train: 0.1381, acc_train: 0.9516, recall_train: 0.9615, auc_train: 0.9936, loss_val: 0.4366, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.1424, acc_train: 0.9677, recall_train: 1.0000, auc_train: 0.9936, loss_val: 0.4945, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8803
loss_train: 0.1246, acc_train: 0.9677, recall_train: 0.9615, auc_train: 0.9957, loss_val: 0.5177, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8803
loss_train: 0.1223, acc_train: 0.9677, recall_train: 0.9615, auc_train: 0.9968, loss_val: 0.4408, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.1152, acc_train: 0.9677, recall_train: 1.0000, auc_train: 0.9979, loss_val: 0.4488, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.1050, acc_train: 0.9677, recall_train: 1.0000, auc_train: 0.9989, loss_val: 0.5285, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8761
loss_train: 0.1052, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4731, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8803
loss_train: 0.0912, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4376, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0935, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4824, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8803
loss_train: 0.0823, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5190, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8803
loss_train: 0.0829, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4466, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0768, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4481, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0729, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5175, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8889
loss_train: 0.0718, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4774, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8889
loss_train: 0.0650, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4407, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.0660, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4820, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8846
loss_train: 0.0602, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5105, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8889
loss_train: 0.0603, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4494, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8889
loss_train: 0.0575, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4565, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8889
loss_train: 0.0548, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5130, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8889
loss_train: 0.0547, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4710, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8889
loss_train: 0.0508, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4496, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8932
loss_train: 0.0512, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4971, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8932
loss_train: 0.0489, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4915, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8932
loss_train: 0.0474, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4521, acc_val: 0.7742, recall_val: 0.7778, auc_val: 0.8932
loss_train: 0.0474, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4817, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8932
loss_train: 0.0450, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5016, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8846
loss_train: 0.0451, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4560, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.0444, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4747, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8846
loss_train: 0.0426, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5034, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8846
loss_train: 0.0431, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4570, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.0425, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4752, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8846
loss_train: 0.0410, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5001, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8889
loss_train: 0.0415, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4548, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0414, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4803, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8932
loss_train: 0.0400, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4907, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8932
loss_train: 0.0401, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4531, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0405, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4892, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8932
loss_train: 0.0396, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4732, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0389, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4574, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0392, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.4939, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8932
politifact gcn Testing Results:
acc: 0.8190, f1_macro: 0.8177, f1_micro: 0.8190, precision: 0.8668, recall: 0.7587, auc: 0.9031, ap: 0.9116
Namespace(batch_size=128, concat=True, dataset='politifact', device='cpu', dropout_ratio=0.0, epochs=80, feature='bert', lr=0.001, model='gat', multi_gpu=False, nhid=128, num_classes=2, num_features=768, seed=777, weight_decay=0.01)
loss_train: 0.7266, acc_train: 0.5323, recall_train: 0.0769, auc_train: 0.4444, loss_val: 0.7339, acc_val: 0.5806, recall_val: 1.0000, auc_val: 0.7009
loss_train: 0.8883, acc_train: 0.4194, recall_train: 1.0000, auc_train: 0.9562, loss_val: 1.2890, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7778
loss_train: 0.9491, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9786, loss_val: 1.1352, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7735
loss_train: 0.8421, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9872, loss_val: 0.7105, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7735
loss_train: 0.6178, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9818, loss_val: 0.6648, acc_val: 0.5806, recall_val: 1.0000, auc_val: 0.7991
loss_train: 0.7285, acc_train: 0.4194, recall_train: 1.0000, auc_train: 0.9765, loss_val: 0.6614, acc_val: 0.5806, recall_val: 1.0000, auc_val: 0.7991
loss_train: 0.7194, acc_train: 0.4194, recall_train: 1.0000, auc_train: 0.9818, loss_val: 0.6410, acc_val: 0.6452, recall_val: 0.8889, auc_val: 0.7863
loss_train: 0.5985, acc_train: 0.7903, recall_train: 1.0000, auc_train: 0.9829, loss_val: 0.7467, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7906
loss_train: 0.5845, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9850, loss_val: 0.8598, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7906
loss_train: 0.6259, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9861, loss_val: 0.8263, acc_val: 0.4194, recall_val: 0.0000, auc_val: 0.7949
loss_train: 0.5952, acc_train: 0.5806, recall_train: 0.0000, auc_train: 0.9861, loss_val: 0.7047, acc_val: 0.4839, recall_val: 0.1111, auc_val: 0.7821
loss_train: 0.5250, acc_train: 0.6452, recall_train: 0.1538, auc_train: 0.9861, loss_val: 0.6160, acc_val: 0.7097, recall_val: 0.7778, auc_val: 0.7821
loss_train: 0.4953, acc_train: 0.9355, recall_train: 0.9615, auc_train: 0.9861, loss_val: 0.5951, acc_val: 0.6452, recall_val: 0.9444, auc_val: 0.7949
loss_train: 0.5050, acc_train: 0.7903, recall_train: 1.0000, auc_train: 0.9872, loss_val: 0.5864, acc_val: 0.6129, recall_val: 0.8889, auc_val: 0.7949
loss_train: 0.4798, acc_train: 0.7903, recall_train: 1.0000, auc_train: 0.9872, loss_val: 0.5781, acc_val: 0.7097, recall_val: 0.7778, auc_val: 0.8077
loss_train: 0.4165, acc_train: 0.9355, recall_train: 1.0000, auc_train: 0.9893, loss_val: 0.6205, acc_val: 0.7097, recall_val: 0.5556, auc_val: 0.8120
loss_train: 0.3843, acc_train: 0.8871, recall_train: 0.7308, auc_train: 0.9925, loss_val: 0.6756, acc_val: 0.7419, recall_val: 0.5556, auc_val: 0.8120
loss_train: 0.3789, acc_train: 0.8226, recall_train: 0.5769, auc_train: 0.9936, loss_val: 0.6498, acc_val: 0.7419, recall_val: 0.5556, auc_val: 0.8291
loss_train: 0.3405, acc_train: 0.8710, recall_train: 0.6923, auc_train: 0.9957, loss_val: 0.5782, acc_val: 0.7419, recall_val: 0.6667, auc_val: 0.8291
loss_train: 0.2928, acc_train: 0.9839, recall_train: 1.0000, auc_train: 0.9968, loss_val: 0.5444, acc_val: 0.7419, recall_val: 0.7778, auc_val: 0.8291
loss_train: 0.2770, acc_train: 0.9516, recall_train: 1.0000, auc_train: 0.9979, loss_val: 0.5364, acc_val: 0.7097, recall_val: 0.7778, auc_val: 0.8333
loss_train: 0.2583, acc_train: 0.9355, recall_train: 1.0000, auc_train: 0.9989, loss_val: 0.5350, acc_val: 0.7419, recall_val: 0.7222, auc_val: 0.8419
loss_train: 0.2195, acc_train: 0.9677, recall_train: 1.0000, auc_train: 0.9989, loss_val: 0.5659, acc_val: 0.7742, recall_val: 0.6667, auc_val: 0.8462
loss_train: 0.1939, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6012, acc_val: 0.7742, recall_val: 0.6667, auc_val: 0.8547
loss_train: 0.1817, acc_train: 0.9677, recall_train: 0.9231, auc_train: 1.0000, loss_val: 0.5783, acc_val: 0.7742, recall_val: 0.6667, auc_val: 0.8632
loss_train: 0.1537, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5296, acc_val: 0.7742, recall_val: 0.7222, auc_val: 0.8632
